;From Mike Nolan, edited to remove extra entries and to add header
;wavelength (microns)   flux (W/m2/nm)  smoothing
 1.164   0.51873   0.01556  157.
 1.166   0.51768   0.01553  157.
 1.168   0.51683   0.01550  158.
 1.170   0.51598   0.01548  158.
 1.172   0.51462   0.01544  158.
 1.174   0.51245   0.01537  158.
 1.176   0.50999   0.01530  158.
 1.178   0.50786   0.01524  158.
 1.180   0.50587   0.01518  158.
 1.182   0.50371   0.01511  159.
 1.184   0.50169   0.01505  159.
 1.186   0.49996   0.01500  159.
 1.188   0.49857   0.01496  159.
 1.190   0.49772   0.01493  159.
 1.192   0.49685   0.01491  159.
 1.194   0.49458   0.01484  160.
 1.196   0.49071   0.01472  160.
 1.198   0.48692   0.01461  160.
 1.200   0.48468   0.01454  160.
 1.202   0.48360   0.01451  160.
 1.204   0.48239   0.01447  160.
 1.206   0.48046   0.01441  160.
 1.208   0.47834   0.01435  161.
 1.210   0.47725   0.01432  161.
 1.212   0.47762   0.01433  161.
 1.214   0.47839   0.01435  161.
 1.216   0.47835   0.01435  161.
 1.218   0.47723   0.01432  161.
 1.220   0.47543   0.01426  162.
 1.222   0.47330   0.01420  162.
 1.224   0.47101   0.01413  162.
 1.226   0.46873   0.01406  162.
 1.228   0.46673   0.01400  162.
 1.230   0.46505   0.01395  162.
 1.232   0.46349   0.01390  162.
 1.234   0.46191   0.01386  163.
 1.236   0.46023   0.01381  163.
 1.238   0.45833   0.01375  163.
 1.240   0.45627   0.01369  163.
 1.242   0.45440   0.01363  163.
 1.244   0.45300   0.01359  163.
 1.246   0.45200   0.01356  163.
 1.248   0.45095   0.01353  164.
 1.250   0.44954   0.01349  164.
 1.252   0.44789   0.01344  164.
 1.254   0.44636   0.01339  164.
 1.256   0.44513   0.01335  164.
 1.258   0.44410   0.01332  164.
 1.260   0.44305   0.01329  164.
 1.262   0.44180   0.01325  165.
 1.264   0.44032   0.01321  165.
 1.266   0.43885   0.01317  165.
 1.268   0.43767   0.01313  165.
 1.270   0.43680   0.01310  165.
 1.272   0.43586   0.01308  165.
 1.274   0.43423   0.01303  166.
 1.276   0.43111   0.01293  166.
 1.278   0.42585   0.01278  166.
 1.280   0.41947   0.01258  166.
 1.282   0.41508   0.01245  166.
 1.284   0.41490   0.01245  166.
 1.286   0.41763   0.01253  166.
 1.288   0.42022   0.01261  167.
 1.290   0.42127   0.01264  167.
 1.292   0.42120   0.01264  167.
 1.294   0.42065   0.01262  167.
 1.296   0.41977   0.01259  167.
 1.298   0.41851   0.01256  167.
 1.300   0.41689   0.01251  167.
 1.302   0.41515   0.01245  168.
 1.304   0.41356   0.01241  168.
 1.306   0.41206   0.01236  168.
 1.308   0.41016   0.01230  168.
 1.310   0.40757   0.01223  168.
 1.312   0.40471   0.01214  168.
 1.314   0.40249   0.01207  168.
 1.316   0.40147   0.01204  169.
 1.318   0.40131   0.01204  169.
 1.320   0.40120   0.01204  169.
 1.322   0.40053   0.01202  169.
 1.324   0.39915   0.01197  169.
 1.326   0.39720   0.01192  169.
 1.328   0.39517   0.01186  169.
 1.330   0.39364   0.01181  169.
 1.332   0.39281   0.01178  170.
 1.334   0.39225   0.01177  170.
 1.336   0.39137   0.01174  170.
 1.338   0.39011   0.01170  170.
 1.340   0.38887   0.01167  170.
 1.342   0.38793   0.01164  170.
 1.344   0.38708   0.01161  170.
 1.346   0.38603   0.01158  171.
 1.348   0.38470   0.01154  171.
 1.350   0.38320   0.01150  171.
 1.352   0.38159   0.01145  171.
 1.354   0.37984   0.01140  171.
 1.356   0.37811   0.01134  171.
 1.358   0.37668   0.01130  171.
 1.360   0.37555   0.01127  172.
 1.362   0.37450   0.01124  172.
 1.364   0.37331   0.01120  172.
 1.366   0.37194   0.01116  172.
 1.368   0.37052   0.01112  172.
 1.370   0.36928   0.01108  172.
 1.372   0.36827   0.01105  172.
 1.374   0.36732   0.01102  173.
 1.376   0.36640   0.01099  173.
 1.378   0.36557   0.01097  173.
 1.380   0.36477   0.01094  173.
 1.382   0.36387   0.01092  173.
 1.384   0.36292   0.01089  173.
 1.386   0.36200   0.01086  173.
 1.388   0.36106   0.01083  173.
 1.390   0.36006   0.01080  174.
 1.392   0.35896   0.01077  174.
 1.394   0.35776   0.01073  174.
 1.396   0.35642   0.01069  174.
 1.398   0.35489   0.01065  174.
 1.400   0.35331   0.01060  174.
 1.402   0.35198   0.01056  174.
 1.404   0.35100   0.01053  175.
 1.406   0.35013   0.01050  175.
 1.408   0.34900   0.01047  175.
 1.410   0.34755   0.01043  175.
 1.412   0.34616   0.01038  175.
 1.414   0.34516   0.01035  175.
 1.416   0.34437   0.01033  175.
 1.418   0.34325   0.01030  175.
 1.420   0.34155   0.01025  176.
 1.422   0.33952   0.01019  176.
 1.424   0.33762   0.01013  176.
 1.426   0.33618   0.01009  176.
 1.428   0.33541   0.01006  176.
 1.430   0.33529   0.01006  176.
 1.432   0.33550   0.01007  176.
 1.434   0.33543   0.01006  177.
 1.436   0.33451   0.01004  177.
 1.438   0.33265   0.00998  177.
 1.440   0.33043   0.00991  177.
 1.442   0.32873   0.00986  177.
 1.444   0.32793   0.00984  177.
 1.446   0.32759   0.00983  177.
 1.448   0.32699   0.00981  177.
 1.450   0.32582   0.00977  178.
 1.452   0.32442   0.00973  178.
 1.454   0.32330   0.00970  178.
 1.456   0.32268   0.00968  178.
 1.458   0.32227   0.00967  178.
 1.460   0.32162   0.00965  178.
 1.462   0.32061   0.00962  178.
 1.464   0.31948   0.00958  178.
 1.466   0.31836   0.00955  179.
 1.468   0.31707   0.00951  179.
 1.470   0.31540   0.00946  179.
 1.472   0.31351   0.00941  179.
 1.474   0.31191   0.00936  179.
